class;cap-diameter;cap-shape;cap-surface;cap-color;does-bruise-or-bleed;gill-attachment;gill-spacing;gill-color;stem-height;stem-width;stem-root;stem-surface;stem-color;veil-type;veil-color;has-ring;ring-type;spore-print-color;habitat;season
e;10.57;f;e;b;f;;c;b;5.0;20.29;;;w;;;t;f;;d;a
p;5.49;o;s;w;f;;c;w;0.0;0.0;f;f;f;;;f;f;n;d;u
p;2.4;f;y;o;f;a;;o;3.2;5.55;;;o;;;f;f;;h;a
e;11.28;x;y;e;f;;;w;7.8;28.41;b;;n;;w;t;e;;d;w
p;0.65;f;;o;f;d;;o;3.83;0.92;;;o;;;f;f;w;g;u
p;4.22;o;s;n;f;;c;w;0.0;0.0;f;f;f;;;f;f;n;d;u
e;10.21;s;;w;t;d;c;y;5.32;20.83;;;w;;;f;f;;d;a
e;6.46;x;d;y;t;p;;y;7.78;14.2;;;y;;;f;f;;d;a
e;4.33;x;w;y;f;f;f;f;4.59;14.46;;;y;;;f;f;;d;a
p;2.78;x;i;e;f;;;e;3.59;4.11;;;e;;;f;f;n;d;a
p;1.04;x;g;w;f;a;d;w;2.66;1.25;;;n;;;f;f;;d;a
e;5.72;x;y;n;f;e;c;p;5.29;10.02;;y;n;;;f;f;;d;u
e;1.1;x;g;e;t;a;;w;5.28;0.97;;;n;;;f;f;;h;a
e;8.83;x;s;n;t;p;;n;8.22;18.34;;;n;;w;t;p;;d;u
p;1.78;p;t;n;f;a;c;g;6.94;2.58;;t;y;;;t;e;;m;a
e;4.87;x;t;o;f;a;d;w;6.7;6.13;;s;n;;;f;f;;d;s
p;5.05;x;h;n;f;a;c;n;4.53;6.58;;y;n;;;t;z;;d;a
p;2.55;x;g;n;f;a;;w;5.85;2.46;;;n;;;f;f;;d;a
e;6.02;o;;n;f;f;f;f;5.23;18.91;;;n;;;f;f;;d;s
p;1.81;f;h;y;f;;;n;7.42;2.78;;;y;;;f;f;;g;u
p;3.55;b;y;n;f;;c;w;7.07;4.59;s;s;w;;;f;f;;d;a
e;4.17;s;w;y;f;f;f;f;4.21;10.88;;;y;;;f;f;;d;u
p;5.22;o;s;w;f;;c;w;0.0;0.0;f;f;f;;;f;f;n;d;u
p;10.58;f;;w;f;x;c;w;10.78;12.87;r;i;w;;;f;f;;h;a
p;13.74;x;s;n;t;p;;e;9.57;29.16;c;;y;;;f;f;;d;u
p;1.32;x;g;n;f;d;d;n;1.71;2.37;;s;n;;;f;f;;h;u
p;2.24;f;y;e;f;e;c;n;3.76;3.29;;k;w;;;t;e;;d;u
e;4.03;x;;w;f;d;;r;5.7;7.66;;;w;;;f;f;;l;u
p;2.88;f;;n;f;x;c;p;7.08;3.68;;;n;;;f;f;;d;u
e;5.78;x;i;n;f;e;c;n;4.32;11.76;;;w;;;t;r;;w;a
p;2.91;x;s;w;f;d;c;w;2.29;7.29;;;w;;;f;f;;g;u
e;6.96;x;;p;f;x;c;w;6.5;16.12;;s;w;;;f;f;;d;u
p;6.07;x;d;n;t;d;c;w;6.28;8.05;;;n;;;f;f;;d;a
p;3.12;b;y;n;f;;c;u;5.79;4.5;s;s;w;;;f;f;;d;a
p;3.29;f;;w;f;x;c;p;7.38;4.47;;;p;;;f;f;;l;a
p;9.88;x;t;n;f;a;d;w;10.02;30.81;;;w;;;f;f;;d;a
p;8.58;f;;y;f;x;c;n;6.55;11.7;;;w;;;f;f;;d;u
e;11.57;p;i;n;t;e;;p;9.51;17.71;;y;w;;;t;p;;d;a
p;2.54;x;s;g;f;d;c;w;2.92;6.8;;;w;;;f;f;;g;a
e;5.12;b;h;k;f;s;d;g;4.58;8.6;;s;g;;;f;f;;d;a
p;15.61;s;k;n;f;d;c;y;5.1;39.86;;k;k;;;f;f;;d;u
e;13.55;x;e;g;f;a;c;w;7.02;21.21;s;;w;;;f;f;;l;w
p;8.3;s;d;e;t;d;c;y;7.33;10.68;;;e;;;f;f;;d;u
p;17.38;f;s;e;f;p;;y;5.22;31.45;;;n;;;f;f;;d;a
p;5.95;x;e;e;f;a;;w;7.64;10.09;;;n;;w;t;z;;d;a
e;9.62;f;;n;t;;;w;13.19;21.09;b;;w;u;w;t;g;;d;a
e;7.61;f;h;n;f;s;;y;10.06;13.22;;t;n;;;f;f;;d;a
p;5.54;s;d;y;f;d;c;y;3.64;7.01;;;o;;;f;f;;h;a
p;5.86;c;e;y;t;x;c;r;5.92;11.25;;;w;;;f;f;;g;a
p;3.75;b;t;n;f;x;c;p;5.89;4.76;;i;n;;;f;f;;m;u
e;3.75;x;d;n;f;p;;e;5.05;10.62;;;n;;;f;f;;d;a
e;6.14;x;l;w;f;d;;p;3.44;9.09;;;w;;;f;f;;d;u
e;10.99;s;;g;f;s;c;b;7.4;19.59;;;b;;;f;f;;d;a
e;2.56;f;y;n;f;a;d;p;7.52;3.57;;i;n;;;f;f;;l;u
e;14.75;p;y;w;f;e;c;k;19.16;13.34;;s;w;;;t;e;;g;w
e;4.72;x;;n;f;x;c;w;8.75;10.74;b;;w;;w;t;;;d;s
p;7.63;f;h;n;f;x;;w;10.57;6.19;r;g;n;;;f;f;;d;a
p;9.63;x;t;n;f;a;d;w;10.01;29.1;;;w;;;f;f;;d;a
p;7.87;s;;y;t;d;;o;4.66;11.73;;;w;;;t;f;;d;a
p;7.03;x;;n;f;x;c;w;8.99;9.85;r;i;w;;;f;f;;d;u
e;6.24;f;s;n;f;s;c;w;6.21;9.82;b;i;w;;;f;f;;l;u
e;5.43;s;;n;f;d;c;w;5.32;8.31;;s;w;;;f;f;;d;u
e;8.0;f;;p;f;x;c;w;6.56;15.43;;s;w;;;f;f;;d;u
e;7.16;x;;n;f;a;;w;7.61;13.95;;;g;;;f;f;;d;u
p;7.16;s;t;p;t;d;c;p;6.8;12.79;;;p;;;t;f;;d;a
e;6.54;b;h;g;f;s;d;g;5.28;10.35;;s;g;;;f;f;;d;a
p;6.16;p;y;g;f;;;k;12.23;13.58;;s;w;;;t;z;;d;w
p;8.38;s;;r;t;d;;o;4.07;10.77;;;w;;;t;f;;d;a
e;6.55;x;;w;f;e;;w;5.96;11.26;b;;y;u;y;t;g;;d;a
p;3.02;o;;g;f;f;f;f;3.45;15.29;;g;n;;;f;f;;d;u
p;6.51;x;;y;f;s;d;y;6.48;16.63;;i;y;;;f;f;;d;a
p;3.62;b;;k;f;a;;k;9.25;2.76;;;g;;w;f;f;k;g;a
p;3.91;f;d;n;f;x;c;y;4.64;3.05;b;s;n;;;f;f;;d;a
p;3.71;b;y;n;f;;c;g;6.83;4.77;s;s;w;;;f;f;;d;a
p;12.88;f;;g;f;e;;w;11.06;14.74;;;w;u;w;t;g;;d;a
e;5.0;s;l;n;f;f;f;f;7.62;64.07;;;n;;;f;f;g;l;a
p;4.18;f;l;n;f;x;d;n;4.99;4.55;;;y;;;f;f;;d;u
e;8.49;x;d;n;t;p;;y;6.27;12.58;;;y;;;f;f;;d;a
e;9.86;x;s;y;f;d;d;w;9.73;19.33;;i;n;;;t;;w;d;a
p;6.81;x;s;g;t;s;d;r;5.92;14.55;r;y;w;;;f;f;;d;a
p;1.4;x;g;n;f;d;d;n;2.21;2.6;;s;n;;;f;f;;d;a
e;5.69;f;s;n;f;s;c;w;5.78;9.88;b;i;w;;;f;f;;d;u
p;8.03;b;y;w;f;;;k;16.36;18.18;;;w;;;f;f;;d;a
e;9.3;x;t;y;f;p;;y;8.16;14.98;;;y;;y;t;;;d;u
e;4.26;f;y;g;f;s;;y;3.93;6.54;;;w;;;f;f;;d;a
p;3.39;x;t;o;f;a;c;n;3.82;5.12;;y;n;;;t;z;;d;a
e;9.09;x;s;n;f;e;c;p;6.3;9.42;;i;n;;;f;f;p;d;s
e;5.87;x;y;n;f;e;c;p;5.38;9.75;;y;n;;;f;f;;d;u
e;6.18;f;d;w;f;s;c;w;6.91;32.15;;;w;;;f;f;;m;u
e;5.53;x;s;n;f;x;c;w;6.83;10.44;;s;n;;;f;f;;l;w
e;17.24;p;t;n;f;p;;w;13.1;64.64;;;n;;;f;f;;d;a
e;7.08;f;;p;f;x;c;w;8.18;17.5;;s;w;;;f;f;;d;u
p;1.83;f;i;k;f;a;;w;3.61;2.21;;;w;;;f;f;p;g;u
p;9.24;f;h;r;f;;c;w;10.9;13.77;;;w;u;w;t;p;;d;a
e;6.98;s;w;y;f;f;f;f;6.5;13.99;;;y;;;f;f;;d;a
e;4.98;x;;r;f;a;;r;5.81;7.98;;;r;;;f;f;;l;a
p;6.03;c;i;y;f;;c;n;6.65;9.44;;;w;;;f;f;;d;a
p;10.36;x;i;n;f;a;;n;11.78;16.35;s;;n;;e;f;f;;d;a
p;4.21;o;s;n;f;;c;w;0.0;0.0;f;f;f;;;f;f;n;d;u
e;5.72;x;d;y;t;p;;y;6.45;13.11;;;y;;;f;f;;d;a
p;0.93;x;g;w;f;a;d;w;3.12;1.39;;;n;;;f;f;;l;u
p;3.83;x;t;n;f;a;c;n;4.37;5.2;;y;n;;;t;z;;d;w
p;6.17;f;h;e;f;x;;w;12.96;6.93;r;g;n;;;f;f;;d;a
p;5.46;f;k;y;f;p;;n;3.27;5.35;;k;n;;;t;f;;d;u
e;3.93;x;t;n;f;d;;o;6.21;7.06;;t;o;;;f;f;;d;w
e;4.33;x;;w;f;d;;r;6.48;8.0;;;w;;;f;f;;l;u
e;5.08;p;;g;f;f;f;f;4.84;17.47;;;n;;;f;f;;l;s
e;8.67;f;t;o;f;s;;y;10.01;13.86;;i;o;;;f;f;;d;a
p;3.49;x;k;n;f;s;;p;3.99;3.21;;;n;;;f;f;p;g;a
e;8.32;f;e;b;f;;c;b;4.23;15.48;;;w;;;t;f;;d;a
e;4.53;x;;w;f;d;;r;6.32;7.25;;;w;;;f;f;;d;a
e;1.52;x;g;n;f;a;;w;6.06;2.47;;t;y;;;f;f;;g;u
e;10.22;s;s;r;f;x;;n;6.01;20.13;;;n;;;f;f;;d;a
p;1.1;x;g;w;f;a;d;w;3.06;1.65;;;e;;;f;f;;d;u
e;3.84;x;h;o;f;a;c;o;4.71;6.3;;;e;;;f;f;;m;a
p;3.98;o;s;o;f;f;f;f;0.0;0.0;f;f;f;;;t;f;;d;a
p;5.01;c;e;y;t;x;c;y;6.98;13.26;;;w;;;f;f;;d;u
p;3.77;x;t;n;f;s;c;p;5.23;7.83;;;w;;n;t;z;;d;a
e;8.6;x;s;n;f;e;c;p;6.26;9.88;;i;w;;;f;f;p;d;a
e;8.27;s;;n;f;;;w;4.37;23.4;;;n;;;f;f;;d;u
e;6.19;b;h;k;f;s;d;g;4.82;9.64;;s;g;;;f;f;;d;a
e;1.65;c;g;n;f;a;;g;5.47;1.77;;;g;;;f;f;;d;a
p;2.55;x;g;n;f;a;;w;7.37;2.7;;;n;;;f;f;;d;u
e;15.01;x;y;n;t;e;;w;10.41;18.42;;;w;;;t;;;d;a
e;9.02;f;;l;f;d;c;w;2.23;14.27;;;w;;;f;f;;d;w
e;7.22;x;s;u;f;a;c;w;4.29;13.95;;;w;;;f;f;;d;a
p;9.14;x;t;n;f;a;d;w;11.17;26.92;;;w;;;f;f;;d;a
p;4.07;x;s;y;f;a;c;y;5.4;7.06;;g;o;;;f;f;;g;a
e;3.42;x;t;o;f;a;d;y;5.12;4.03;;k;o;;;f;f;;d;w
e;4.73;x;s;o;f;p;;n;6.24;11.68;;;n;;;f;f;;d;u
p;4.65;f;k;y;f;p;;n;2.78;4.33;;k;n;;;t;f;;d;u
p;6.29;b;s;n;f;;;w;8.73;11.73;;s;w;;;t;z;;g;s
p;14.69;f;s;e;f;p;;y;5.83;40.82;;;n;;;f;f;;d;w
e;10.92;s;s;y;f;x;;n;7.87;24.05;;;n;;;f;f;;d;w
p;1.42;b;h;n;f;a;;n;4.58;1.34;;t;n;;;f;f;;d;a
p;3.73;f;l;n;f;x;d;y;5.06;4.7;;;y;;;f;f;;d;a
e;8.36;s;;g;f;s;c;p;7.68;18.73;b;;u;;;f;f;;g;a
p;6.09;x;k;n;f;d;c;n;5.28;6.67;;i;y;;;t;;;d;a
e;4.52;x;t;n;f;a;d;n;5.68;4.35;;t;w;;;t;l;;d;a
p;9.52;x;t;n;f;a;d;w;10.71;31.66;;;w;;;f;f;;d;a
p;5.66;s;d;n;t;d;c;w;7.26;9.46;;;e;;;f;f;;d;a
p;7.89;b;t;w;f;e;c;w;13.05;12.33;;y;w;u;w;t;l;;d;a
p;13.92;x;;g;f;e;;w;11.11;16.89;;;w;u;w;t;e;;d;a
e;7.58;x;;p;f;x;c;w;7.96;22.19;;s;w;;;f;f;;d;u
e;1.38;c;g;n;f;a;;w;4.7;1.61;;;g;;;f;f;;l;u
p;23.42;f;g;o;f;p;;y;5.62;49.29;;;n;;;f;f;;d;w
e;11.49;x;y;e;f;;;w;6.29;24.74;b;;n;;w;t;e;;d;w
e;9.63;x;;n;t;p;;g;13.83;27.5;;y;w;;;f;f;;d;a
e;10.84;x;t;n;t;p;;y;10.31;23.3;;;n;;;f;f;;d;a
e;9.44;x;s;n;f;e;c;p;8.29;10.73;;i;n;;;f;f;p;d;a
p;7.27;f;h;r;f;;c;w;10.99;16.02;;;w;u;w;t;p;;d;a
e;8.65;f;;n;f;x;c;w;7.43;20.43;;s;w;;;f;f;;d;a
e;8.84;x;h;n;t;p;;y;8.34;18.0;;;n;;w;t;p;;d;a
p;0.78;x;;o;f;d;;o;4.48;1.14;;;y;;;f;f;w;g;a
p;10.87;x;e;y;f;a;;o;8.43;23.37;r;;y;;;t;r;n;d;w
p;9.62;s;t;p;t;d;c;p;7.93;14.72;;;p;;;t;f;;d;a
p;6.83;x;g;n;f;e;;w;8.87;16.22;;y;w;u;w;t;p;;d;u
p;4.07;x;;p;f;x;;w;5.69;6.6;;;w;;;f;f;;d;u
e;4.57;x;t;n;f;a;d;n;5.0;5.43;;t;g;;;t;l;;d;w
e;9.29;o;;n;f;;;w;3.46;20.44;;;n;;;f;f;;d;a
e;21.33;x;d;n;f;p;;n;17.48;38.4;s;y;w;;;f;f;;d;a
e;4.9;o;;g;f;f;f;f;5.4;20.0;;;n;;;f;f;;d;s
e;8.14;x;h;y;t;x;c;y;7.62;16.06;;;w;;;f;f;;d;u
p;9.09;x;;n;f;x;c;w;10.04;11.2;r;i;w;;;f;f;;h;u
p;1.31;s;s;y;f;f;f;f;3.58;5.06;;;y;;;f;f;;d;a
e;0.62;x;g;n;t;a;;p;4.54;0.78;;;n;;;f;f;;h;a
e;3.16;f;d;u;t;d;c;p;4.61;5.74;;;n;;;f;f;;d;a
p;7.14;b;y;n;f;;;k;13.77;16.75;;;w;;;f;f;;d;a
p;7.04;x;h;r;f;;c;w;10.62;13.9;;;w;u;w;t;g;;d;u
e;8.92;o;;n;f;;;w;4.94;25.25;;;n;;;f;f;;d;u
p;7.3;x;;n;f;d;c;w;5.54;10.81;b;;n;;;f;f;;l;a
p;2.65;f;y;o;f;a;;o;3.12;5.71;;;y;;;f;f;;m;a
e;3.62;f;g;g;f;a;d;g;5.46;3.4;;s;n;;;f;f;;d;s
e;8.1;f;h;n;f;s;;y;8.8;12.75;;t;o;;;f;f;;d;a
p;9.17;x;t;e;f;x;d;w;5.49;18.09;b;;w;;;f;f;;d;a
p;14.49;o;;e;f;f;f;f;4.15;26.63;;g;n;;;f;f;;d;u
p;4.11;o;;w;f;f;f;f;6.09;35.28;;g;w;;;t;f;;p;a
p;19.61;x;s;o;f;p;;y;5.78;45.92;;;n;;;f;f;;d;w
p;6.48;x;s;n;f;s;;n;5.49;7.79;;y;n;;;f;f;;d;a
p;3.5;b;y;n;f;;c;u;6.42;4.36;s;s;w;;;f;f;;d;a
p;5.3;x;;g;f;d;c;y;5.2;9.93;b;;n;;;f;f;;d;a
p;21.51;f;d;e;f;p;;y;4.99;37.01;;;n;;;f;f;;d;a
p;4.22;o;;w;f;f;f;f;5.3;27.34;;g;w;;;t;f;;p;a
p;5.81;c;e;w;t;x;c;y;4.64;11.01;;;w;;;f;f;;g;u
e;4.51;x;t;n;f;d;;o;6.35;7.94;;t;o;;;f;f;;d;w
p;3.85;s;k;y;f;p;;n;2.7;4.8;;k;n;;;t;f;;d;u
p;8.04;s;h;n;t;d;;g;4.44;12.4;;t;r;;;f;f;;d;u
e;5.85;s;;n;f;d;c;w;5.62;7.93;;s;w;;;f;f;;h;u
e;1.1;b;g;g;f;;;g;2.23;1.32;;;w;;;f;f;;d;s
p;22.66;f;g;e;f;p;;y;6.51;39.97;;;n;;;f;f;;d;a
p;6.63;s;;e;t;d;c;w;6.71;6.52;;;n;;;f;f;;d;a
p;2.47;b;w;u;f;a;c;u;4.98;4.63;;s;u;;;f;f;;d;u
e;1.72;s;y;n;f;d;d;p;7.1;4.05;;i;n;;;f;f;;h;a
e;4.1;x;t;n;f;d;;o;5.81;7.36;;t;w;;;f;f;;d;w
p;2.57;b;s;y;f;;c;r;6.46;6.51;;;y;u;w;t;z;r;d;u
p;4.71;f;l;e;f;x;d;e;6.32;4.91;;;y;;;f;f;;l;u
e;4.11;f;t;n;f;d;;o;6.46;7.69;;t;o;;;f;f;;d;a
e;3.62;s;;y;f;f;f;f;7.18;7.97;;;y;;;f;f;;d;a
e;6.68;f;s;k;f;a;c;w;4.3;14.77;;;w;;;f;f;;d;u
p;3.47;x;t;n;f;s;c;p;5.5;8.32;;;w;;n;t;z;;d;u
e;4.64;x;h;o;f;a;d;w;6.09;4.18;;s;n;;;f;f;;d;w
p;3.82;b;s;y;f;;c;y;9.13;7.43;;;y;u;w;t;z;r;d;s
p;9.0;b;t;w;f;e;c;w;13.39;14.39;;y;w;u;w;t;l;;d;u
e;7.83;f;g;n;f;s;;n;9.37;12.88;;t;n;;;f;f;;d;a
e;5.87;x;l;w;f;d;;w;3.33;7.21;;;w;;;f;f;;g;a
e;7.48;f;;p;f;x;c;w;6.07;16.07;;s;w;;;f;f;;d;u
p;2.63;b;w;p;f;a;;r;4.93;5.17;;t;y;;;f;f;;g;a
p;3.19;c;;u;f;a;c;w;3.72;3.45;;i;u;;;f;f;;d;u
e;1.47;c;g;n;f;a;;w;4.93;1.28;;;g;;;f;f;;l;u
e;23.91;p;w;n;f;p;;y;17.51;70.8;;;n;;;f;f;;d;u
p;1.27;x;s;y;f;f;f;f;3.56;5.52;;;y;;;f;f;;d;u
p;13.5;x;h;y;f;s;;p;8.29;19.24;;i;n;;;f;f;;d;a
p;2.83;f;;u;f;a;c;n;3.44;3.64;;i;w;;;f;f;;p;a
p;4.12;b;h;n;f;;;k;9.41;6.17;;;w;;;t;;k;g;w
p;11.88;x;;g;f;e;;w;10.59;12.35;;;w;u;w;t;g;;d;u
p;7.53;b;y;n;f;;;p;16.25;17.21;;;w;;;f;f;;d;a
e;2.81;x;;u;f;;d;w;5.5;4.28;;;w;;;f;f;;d;w
p;9.36;x;h;r;f;;c;w;11.58;17.28;;;w;u;w;t;g;;d;a
e;3.24;s;;y;f;f;f;f;6.06;6.51;;;o;;;f;f;;d;a
p;8.48;p;;n;f;p;;p;10.23;34.35;c;;n;;;f;f;w;d;a
